Product_Name,Supermarket_Category
Traubentorte,Backwaren
Norddeutsche Kochmettwurst,Fisch & Wurstwaren
Preiselbeer-Stracciatella-Sahne-Kranz,Kühlregal (Molkerei)
Zucchini gesäuert,Trockensortiment & Konserven
Zuckermais gesäuert,Trockensortiment & Konserven
Pudding-Plunder,Backwaren
Bismarckhering,Trockensortiment & Konserven
Sahne-Eclairs,Kühlregal (Molkerei)
Wurstsülze,Fisch & Wurstwaren
Wildbretpastete,Fleischtheke
Nuss-Sahnetorte,Kühlregal (Molkerei)
Mokkabuttercreme gestreckt,Gewürze & Backzutaten
Mehrfruchtsaftschorle angereichert,Getränke Alkoholfrei
Silberzwiebel gesäuert,Trockensortiment & Konserven
Marzipan-Plunder,Backwaren
Quark-Plunder,Kühlregal (Molkerei)
Cornichons gesäuert,Trockensortiment & Konserven
Sachertorte,Backwaren
Bratmakrele,Trockensortiment & Konserven
Münchner Weißwurst gargezogen,Fisch & Wurstwaren
Brathering,Trockensortiment & Konserven
Tomate gesäuert,Trockensortiment & Konserven
Bockwurst gargezogen,Fisch & Wurstwaren
Knollensellerie gesäuert,Trockensortiment & Konserven
Aprikosenteilchen,Backwaren
Kalbfleischpastete,Fleischtheke
Spiegeleierkuchen,Backwaren
Olivenpastete,Fleischtheke
Mokkabuttercremetorte,Backwaren
Baumstamm Bismarckeiche,Backwaren
Mürbchen,Backwaren
Aprikosen-Nuss-Torte,Backwaren
Würfelpastete,Fleischtheke
Pudding-Frucht-Plunder,Backwaren
Donauwellen,Backwaren
Gesülzter Hackbraten,Fleischtheke
Frühlingspastete,Fleischtheke
Quark-Frucht-Plunder,Kühlregal (Molkerei)
Aprikosen-Sahnetorte,Kühlregal (Molkerei)
Sternpastete,Fleischtheke
Eierpastete,Fleischtheke
Schoko-Müslikekse Schoko-Müsliplätzchen,Süßwaren & Snacks
Haselnusspastete,Fleischtheke
Berliner Weisse,Bier & Wein
Champignonpastete,Fleischtheke
Schinken-Käsepastete,Kühlregal (Molkerei)
Schokobuttercremetorte,Backwaren
Quark-Frucht-Vollkornplunder,Kühlregal (Molkerei)
Biskuitschnitte,Backwaren
Wildpaste,Backwaren
Trüffelmosaikpastete,Fleischtheke
Lachsschinkenpastete,Fisch & Wurstwaren
Pudding-Frucht-Vollkornplunder,Backwaren
Berner Würstchen gegrillt,Fleischtheke
Pudding-Plunder belegt,Backwaren
Mosaikroulade,Fleischtheke
